,id,username,displayed_name,created_at,description,followers_count,followings_count,mean per day,mean per month,mean per week,mean per year,median per day,median per month,median per week,median per year
0,9731332,scarletto,scarletto,2007-10-27 10:00:23+00:00,"Love animals, all kinds, Springsteen and Dylan fanatic, hate all injustices really.",3046,1823,20.0,100.0,100.0,100.0,22.0,100.0,100.0,100.0
1,501139438,Iceman_cometh1,The Night King 🇬🇧🇪🇺 #JohnsonOut,2012-02-23 20:52:02+00:00,"Proud European. Socialist. Tell me, how #Brexit has improved YOUR life? #BrexitCONsequences - we told you so!",3889,4991,50.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0
2,824412404473851904,Mal_A_Clypse,Malaclypse,2017-01-26 00:23:28+00:00,Mostly harmless,1164,712,33.333333333333336,100.0,100.0,100.0,23.0,100.0,100.0,100.0
3,1334168772609855488,triomeow,"Cali, Rabbit, Hachi😸",2020-12-02 16:13:28+00:00,,3170,352,50.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0
4,34982054,reminola,Remi Ibinola RIO,2009-04-24 17:22:51+00:00,"Storyteller. Filmmaker. -
The Distance Between, Theo's Dora, The Intervention, Dear Mummy B, Unfinished Business, Purgatory, Man Up, Evil Deeds, Kayanmata....",7321,931,20.0,100.0,100.0,100.0,18.0,100.0,100.0,100.0
5,332872124,catethetwaate,kathleen stonehouse,2011-07-10 15:37:33+00:00,"bolshi wallflower,political cynic,tennis fan and mother of 2.also proud geordie.",2963,2526,33.333333333333336,100.0,100.0,100.0,32.0,100.0,100.0,100.0
6,489267036,meekeebare,Meek E. Ebare,2012-02-11 10:46:17+00:00,Evangelist | Preacher of GIVING |  Author | Entrepreneur |Tel/ WhatsApp: +2349090652668 | Telegram@: https://t.co/gqoQkaDV2O (For daily devotional prayer. 6-7am),6716,7080,8.333333333333334,50.0,50.0,100.0,8.0,50.0,50.0,100.0
7,4798547435,lordofintent,💙 🟨🟥 🐰🐇🐰🐇 Physics doesn't stop for politics,2016-01-13 23:09:28+00:00,"Unite Member, Ex-Labour
#ClimateEmergency is Real...
¡¡¡...Zero by 2030...!!! 🐇🐇🐇🐇🐇
Bunny Hugger 🐰🐰🐰🐰🐰🐰🐰",4402,4994,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,2969801825,Hottest_BabesRT,Hottest Babes,2015-01-09 14:46:19+00:00,Posting/RT pics of the hottest babes.,24755,17155,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,109375565,BadLibrarian,"John Wright 🐌 🇺🇦 old, crumbly, and slippy",2010-01-28 21:17:37+00:00,John Wright - actual librarian Opinions way more nuanced IRL ⚽️🔴⚪️ 🚴‍♂️🏏 London➡️Kent&Sussex⬅️➡️Ontario➡️Alberta. RTs FYI only,1662,4994,50.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0
10,1329399268113694721,geeadee,❖ GeeADee 🇵🇭 TB⁵-⁰¹⁷ ❖,2020-11-19 12:21:14+00:00,"I am a Pro-Goverment 👊
I stan SB19 Mahalima 🌽🥖🍓🍢🐔
the reason why I'm on twitter 🙂",1058,1204,50.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0
11,373727950,LORIANNFITZGERA,CatholicDaughterW/Truth,2011-09-15 03:09:35+00:00,"FreelanceArtist specializing inPortraits I do not work4money I work4GOD onTWITTER 2help correct error in the #CatholicChurch thru #Truth ""nuthin but theBlues""",1153,2197,50.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0
12,1306072873585569792,sickles_charlie,Charlie Sickles ⚔️,2020-09-16 03:31:23+00:00,"Christian ~Pro ~Israel 🇳🇮-💍 veteranUSAF🇺🇸 -🚫DM - #MAGA #Texas - NRA-missionary Philippines, Mozambique, Honduras Trump-RT not endorsement-Prolife",28414,8788,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
13,613527532,Ayibatonye0,Ayibatonye Ikemike,2012-06-20 15:29:04+00:00,"Junior backend-Developer.  Arsenal❤♥♦. Resume:
https://t.co/OPjqhvIyQ1
open to jobs",8072,4793,50.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0
14,703255412217409538,NoxDawn,Nox Dawn 🐸,2016-02-26 16:28:50+00:00,"Kdramas, MCU, webcomics, kpop & politics

#BlackLivesMatter #FreePalestine 🇵🇸 #LGBTQ+ 🏳️‍🌈  #WeAreFUE 🌊",1875,1353,50.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0
15,1224292215649984512,DMan1504,Dan-📚Bookseller/BookBlogger📚,2020-02-03 11:23:11+00:00,"📚Waterstones Bookseller(Bristol, Cribbs Causeway)and Bookblogger📚 👑 HWA Crown judge 👑  📨DM for proof/ARC requests 📨 📣✨Book Cheerleader ✨📣",8836,5088,20.0,100.0,100.0,100.0,19.0,100.0,100.0,100.0
16,168492394,TEJHF,TEJHF forevereuropean #FBPA #rejoin,2010-07-19 13:45:08+00:00,"Tweets from a reluctant activist since 24/6/16 couple of kids, semi, liberal luvvie etc.",2541,4888,3.8461538461538463,50.0,25.0,100.0,1.0,50.0,20.0,100.0
17,1364028850359959553,minkahunter,a cruel angel's feetpix,2021-02-23 01:46:51+00:00,we eat so many almonds I got cyanide poisoning,2368,462,33.333333333333336,100.0,100.0,100.0,20.0,100.0,100.0,100.0
18,858206210,DorothyBruce14,Dorothy Bruce,2012-10-02 15:07:18+00:00,"Writes, misses travelling and winter sun, enjoys life. Finds politics fascinating and endlessly frustrating.",3651,3233,25.0,100.0,100.0,100.0,21.5,100.0,100.0,100.0
19,389516094,mconway70,Michelle 💚 💙 😷 #JoinAUnion #BigPowerOff,2011-10-12 15:15:50+00:00,Passionate socialist & not afraid to say it #SaveOurNHS #WeAreCorbyn #Justice4Grenfell #CorbynProject #BlackLivesMatter #FreePalestine #OrdinaryLeft,11989,13188,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
